---- LOG BEGIN ----
158738.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:38:40 
158739.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:38:40 
158740.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:38:40 
158741.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:38:40 
158742.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:38:40 
158743.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:38:40 
158744.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:38:40 
158745.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:38:40 
158746.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:38:40 
158747.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:38:40 
158748.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:38:40 
158749.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:38:40 
158750.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:38:40 
158751.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:38:40 
158752.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:38:40 
158753.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158754.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158755.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158756.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158757.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158759.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158760.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:38:40 
158761.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158762.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:38:40 
158763.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:38:40 
158764.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:38:40 
158765.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158766.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158767.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158769.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158770.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158771.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158772.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158773.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158774.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158775.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:38:40 
158776.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158777.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158778.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158779.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158780.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158781.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158782.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158783.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:38:40 
158784.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:38:40 
158785.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158786.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:38:40 
158787.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:38:40 
158788.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:38:40 
158790.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:38:40 
158791.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:38:40 
158792.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:38:40 
158795.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:38:40 
158796.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:38:40 
158797.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:38:40 
158798.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:38:40 
158801.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158802.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:38:40 
158803.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:38:40 
158804.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:38:40 
158805.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:38:40 
158806.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:38:40 
158807.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:38:40 
158808.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:38:40 
158809.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158810.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158811.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158812.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158813.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158814.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158815.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158816.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158817.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158818.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158819.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158820.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158821.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158822.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158824.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158825.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158826.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158827.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158828.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158829.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158830.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:38:40 
158831.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:38:40 
158832.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:38:40 
158834.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:38:40 
159190.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:40:11 
159191.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:40:11 
